Project Name,項目名稱,项目名称,Grantee,獲資助者,获资助者,Project Type,項目類型,项目类型,Innovative Programme,創新計劃,创新计划,Stage of Innovation Development,階段,阶段,Project Nature,項目性質,项目性质,Major Beneficiaries,主要受惠者,主要受惠者,Brief Description,簡介,简介,Impact / Expected Impact,效益/預期效益,效益/预期效益,Approved Funding Amount (HK$),獲批資助額 （港幣）,获批资助额 （港币）,Funding Period (months),資助期(月),资助期(月),Status,狀況,状况,Project Website,項目網頁,项目网页
SENovate,創航計劃,创航计划,Boaz International Education Institute Limited,博雅思教育中心有限公司,博雅思教育中心有限公司,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,Training programmes to equip students with special education needs for career development in entrepreneurship,培育有特殊學習需要學生成為創業家的培訓課程,培育有特殊学习需要学生成为创业家的培训课程,"‧Programme outline and teaching content developed‧Programme conducted to a local secondary school, Centre for Advancement in Inclusive and Special Education of the University of Hong Kong and a private education institute with 33 SEN students reached",‧完成課程綱要和教材的設計‧在一所本地中學、香港大學融合與特殊教育研究發展中心及一間私人教育中心進行課程，共有33名SEN學生參與,‧完成课程纲要和教材的设计‧在一所本地中学、香港大学融合与特殊教育研究发展中心及一间私人教育中心进行课程，共有33名SEN学生参与,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.boazeducation.com,www.boazeducation.com,www.boazeducation.com
SENT in School,童樂薪升,童乐薪升,Relight Rehabilitation Company Limited,Relight Rehabilitation Company Limited,Relight Rehabilitation Company Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,Training programmes for students with special education needs who come from low income families,專為來自低收入家庭有特殊學習需要兒童而設的訓練課程,专为来自低收入家庭有特殊学习需要儿童而设的训练课程,N/A,不適用,不适用,100000,100000,100000,6.00,6.00,6.00,Terminated,已終止,已终止,,,
SERcle,SERcle,SERcle,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Prototype,原型,原型,Others,其他,其他,Others,其他,其他,Building a collaborative platform for schools and social enterprises,建立一個學校和社會企業之間的協作平台	,建立一个学校和社会企业之间的协作平台	,"- Assess 10 workshops held by social enterprises - Design 10 different workshops, 10 secondary schools willing to purchase the service",- 檢視10個由社企提供的工作坊- 設計出10個社企工作坊，並有10間中學願意購買服務,- 检视10个由社企提供的工作坊- 设计出10个社企工作坊，并有10间中学愿意购买服务,100000,100000,100000,12.00,12.00,12.00,Active,推展中,推展中,,,
SHARE – Urban Farming Community,都市農莊社區共享計劃,都市农庄社区共享计划,Share Farming Community Limited,Share Farming Community Limited,Share Farming Community Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,Enhancing social engagement for the elderly and underprivileged youth through urban farming,透過都市農耕加強長者及弱勢青少年的社區參與,透过都市农耕加强长者及弱势青少年的社区参与,"‧Trained up 7 underprivileged youth, 1 middle-aged house-wife and 1 retired helper.‧Served 70 elderly people.",‧成功培訓7名弱勢青年、1名中年婦女和1名退休人士‧70位長者接受服務,‧成功培训7名弱势青年、1名中年妇女和1名退休人士‧70位长者接受服务,100000,100000,100000,14.00,14.00,14.00,Completed,已完成,已完成,www.facebook.com/sharefarmingcom,www.facebook.com/sharefarmingcom,www.facebook.com/sharefarmingcom
Sightfeeling,盲蹤踪,盲踪踪,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,Activities by which persons with visual impairment demonstrate their talents in photography while enabling their views to be understood by the public,透過不同活動讓視障人士展示攝影才華並令公眾了解視障人士的想法 ,透过不同活动让视障人士展示摄影才华并令公众了解视障人士的想法 ,"- Organised a photo exhibition, four experiential activities and six sharing workshops with around 3000 members of the public reached- Created 38 job opportunities, including braille typing, trainers, activity helpers, etc. to visually - impaired persons",- 舉辦一場攝影展覽、四場體驗活動和六個分享工作坊，接觸約3000名公眾人士- 提供38個工作機會予視障人士，包括點字製作、導師、活動助理等,- 举办一场摄影展览、四场体验活动和六个分享工作坊，接触约3000名公众人士- 提供38个工作机会予视障人士，包括点字制作、导师、活动助理等,100000,100000,100000,12.00,12.00,12.00,Completed,已完成,已完成,sightfeelinghk.wixsite.com/neww,sightfeelinghk.wixsite.com/neww,sightfeelinghk.wixsite.com/neww
Silver Papa,銀髮伯伯,银发伯伯,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Living,住,住,Elderly,長者,长者,Provision of tailor-made clothing to elderly to improve safety and self-confidence,提供量身訂造的服裝以提升長者的安全及自信心,提供量身订造的服装以提升长者的安全及自信心,Sold and donated over 370 pieces of tailor-made rehab clothing to 330 elderly people Recruited six low-income and two disabled persons as part-time staff Held two promotional booths at shopping malls to promote its products ,售賣及捐贈超過370件度身訂做的復康衣服予330名長者 招募六名低收入和兩名殘疾人士為兼職員工 設立兩個商場推廣攤位作產品宣傳,售卖及捐赠超过370件度身订做的复康衣服予330名长者 招募六名低收入和两名残疾人士为兼职员工 设立两个商场推广摊位作产品宣传,100000,100000,100000,12.00,12.00,12.00,Completed,已完成,已完成,,,
Soapdays,同你心同你斟,同你心同你斟,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Low-income families,低收入家庭,低收入家庭,Providing caregivers of grassroots families with training and job opportunities as environmental ambassadors ,培訓及聘請基層家庭照顧者成為環保大使	,培训及聘请基层家庭照顾者成为环保大使	,- Employ 4 caregivers of grassroots families as Soapdays Ambassadors and provide them with 2 hours of training per month ,- 聘請4位基層家庭照顧者擔任環保大使，並為他們提供每個月兩小時的培訓,- 聘请4位基层家庭照顾者担任环保大使，并为他们提供每个月两小时的培训,100000,100000,100000,12.00,12.00,12.00,Active,推展中,推展中,https://www.facebook.com/Soapdays.co/,https://www.facebook.com/Soapdays.co/,https://www.facebook.com/Soapdays.co/
StarUp Wonders,星匠,星匠,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Others,其他,其他,A one-stop platform which provides art training and product sales channel for people with intellectual disabilities,為智障人士提供藝術培訓以及藝術產品銷售渠道的一站式平台,为智障人士提供艺术培训以及艺术产品销售渠道的一站式平台,1. Provide training and job opportunities for 10 people with intellectual disabilities2. Complete 10 art pieces by people with intellectual disabilities and commericalise one of the art pieces into merchandise3. Support 10 parents of people with intellectual disabilities,1. 提供培訓及工作機會予10位智障人士2. 由智障人士完成10幅畫作，並推出1件產品3. 支援10位智障人士家長,1. 提供培训及工作机会予10位智障人士2. 由智障人士完成10幅画作，并推出1件产品3. 支援10位智障人士家长,100000,100000,100000,12.00,12.00,12.00,Active,推展中,推展中,,,
Teens@KIFF,KIFF 「Teen 使」計劃,KIFF 「Teen 使」计划,3space Limited,3space Limited,3space Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Children and youth,兒童及青少年,儿童及青少年,Training programme on short film production to help underprivileged students acquire knowledge and skills for the media industry,提供短片製作訓練課程，讓弱勢學生獲得相關知識及技術，以便在媒體行業發展事業,提供短片制作训练课程，让弱势学生获得相关知识及技术，以便在媒体行业发展事业,"Recruited 12 mentors and trainers from movie and media industryCollaborated with 9 NGOs for providing sharing sessions on different social issues in Hong KongReached over 300 000 students from 960 primary and secondary schoolsConducted three training and ten mentorship/ tutoring/ production sessions for over 140 studentsReceived a total of 34 short films submission featuring local social issues from 31 schools/NGOsBecame one of the Festival Partners of the 25th ifva Awards organised by Hong Kong Arts CentreInvited the above 34 teams to participate in the 25th ifva Awards. Of the 34 teams, four were selected/ awarded in the competition",招募12名來自電影及傳媒業人士擔任學長及導師與九間非政府機構合作提供有關本港不同社會議題的分享會接觸逾 300 000位來自約960間中小學的學生舉辦三場培訓及十場學長指導/導師指導/有關製作課程予超過140名學生收到來自31間學校/非政府機構共34條與本港社會議題相關的參賽短片於香港藝術中心主辦的第25屆獨立短片及影像媒體比賽暨電影節中擔任其中一個合作夥伴邀請上述34個團隊參加第25屆獨立短片及影像媒體比賽，當中有四隊於比賽中入圍/獲獎,招募12名来自电影及传媒业人士担任学长及导师与九间非政府机构合作提供有关本港不同社会议题的分享会接触逾 300 000位来自约960间中小学的学生举办三场培训及十场学长指导/导师指导/有关制作课程予超过140名学生收到来自31间学校/非政府机构共34条与本港社会议题相关的参赛短片于香港艺术中心主办的第25届独立短片及影像媒体比赛暨电影节中担任其中一个合作伙伴邀请上述34个团队参加第25届独立短片及影像媒体比赛，当中有四队于比赛中入围/获奖,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.kiff.asia/teens,www.kiff.asia/teens,www.kiff.asia/teens
The Art of Empowerment ,起動藝術,起动艺术,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Children and youth,兒童及青少年,儿童及青少年,Training classes in art allowing underprivileged students to unleash their talents and develop a career in the field,提供藝術訓練讓弱勢學生可以發揮天份以及發展藝術事業,提供艺术训练让弱势学生可以发挥天份以及发展艺术事业,"To benefit 80 underprivileged secondary students, among them 8 will be trained as teaching assistants and 72 will participate in art classes",讓80名弱勢中學生受惠，其中8名會接受培訓並擔任助教，其餘72名會參與藝術課程,让80名弱势中学生受惠，其中8名会接受培训并担任助教，其余72名会参与艺术课程,100000,100000,100000,21.00,21.00,21.00,Active,推展中,推展中,,,
The Second Box,拾易紙長,拾易纸长,The Second Box Company Limited,The Second Box Company Limited,The Second Box Company Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Elderly,長者,长者,Increasing the earning of elderly scavengers through up-cycling cardboard boxes,增加拾荒長者收入的廢紙箱升級再造計劃,增加拾荒长者收入的废纸箱升级再造计划,"‧Engaged 20 elderly scavengers.‧Besides cardboard boxes, 7 upcycling products have been developed and put on the market.‧Covered by different media, such as Radio Television Hong Kong, HK Economic Journal, HK Economic Times, HK01, etc, through which the project inspired the society at large to look into the situation of elderly scavengers.",‧20 名拾荒長者受惠‧除紙箱外，已推出7款新環保產品並銷售‧接受了不同媒體訪問，如香港電台、信報、香港經濟日報、香港01等，讓此項目理念於社會上傳播，引起公眾討論及關注拾荒長者,‧20 名拾荒长者受惠‧除纸箱外，已推出7款新环保产品并销售‧接受了不同媒体访问，如香港电台、信报、香港经济日报、香港01等，让此项目理念于社会上传播，引起公众讨论及关注拾荒长者,100000,100000,100000,6.00,6.00,6.00,Completed,已完成,已完成,https://www.facebook.com/TheSecondBox/,https://www.facebook.com/TheSecondBox/,https://www.facebook.com/TheSecondBox/
THEME-THE ME,我就是我 殘障人士專屬網上平台,我就是我 残障人士专属网上平台,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,Providing a platform on social media for persons with disabilities to showcase their talent,在社交媒體建立平台讓殘疾人士展示才能,在社交媒体建立平台让残疾人士展示才能,‧Recruited and trained seven PWDs as KOLs‧Arranged two video shooting activities for the KOLs,‧完成招募及培訓七位殘疾人士成為KOL‧為KOL安排了兩次攝製活動,‧完成招募及培训七位残疾人士成为KOL‧为KOL安排了两次摄制活动,100000,100000,100000,6.00,6.00,6.00,Completed,已完成,已完成,,,
Time Capsule,時光,时光,Lightbulb Limited,光靈有限公司,光灵有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Persons with disabilities,殘疾人士,残疾人士,Providing training to help youth with visual impairment develop a career in writing and publishing,為視障青年提供培訓，協助他們發展寫作及出版事業,为视障青年提供培训，协助他们发展写作及出版事业,‧Recruited 9 visually impaired youngsters for training in interviewing and writing skills of life story. Six of them had completed all 12 hours of training‧Provided life story book production service to 15 elderly,‧招募了9名視障青年接受訪問及寫作技巧培訓，其中6位完成全期12小時培訓‧為15名長者製作故事書冊,‧招募了9名视障青年接受访问及写作技巧培训，其中6位完成全期12小时培训‧为15名长者制作故事书册,100000,100000,100000,12.00,12.00,12.00,Completed,已完成,已完成,timecapsule.org.hk,timecapsule.org.hk,timecapsule.org.hk
Tinwork,天水圍人社區學堂,天水围人社区学堂,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Low-income families,低收入家庭,低收入家庭,Community-building programmes that unleash hidden talents and promote a sense of caring,讓街坊發揮所長和推動關愛精神的社區建設計劃,让街坊发挥所长和推动关爱精神的社区建设计划,‧Recruited 8 Tin Shui Wai kai fong with different talents as tutors of interest classes‧Conducted 108 sessions of interest classes‧Conducted 3 community tours,‧招攬8位具不同潛能的天水圍街坊成為興趣班導師‧舉辦108節興趣班‧舉辦3次社區導賞團,‧招揽8位具不同潜能的天水围街坊成为兴趣班导师‧举办108节兴趣班‧举办3次社区导赏团,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.facebook.com/DialogTSW/,www.facebook.com/DialogTSW/,www.facebook.com/DialogTSW/
Unspoken.,Unspoken.,Unspoken.,Unspoken. Limited,Unspoken. Limited,Unspoken. Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Living,住,住,Others,其他,其他,A fashion brand that co-creates products with social value to enhance social inclusion through discovering unspoken stories (e.g. ex-offenders) in Hong Kong,致力發掘香港動人故事（例如更生人士），共創具社會價值產品以推動社會共融的時裝品牌,致力发掘香港动人故事（例如更生人士），共创具社会价值产品以推动社会共融的时装品牌,"‧Engaged 4 ex-offenders, 6 local designers, 2 journalists.‧Conducted art therapy workshops for 15 inmates in partnership with Correctional Services Department.‧Completed 15 different product design and proceeded to production.‧Attracted more than 500 followers to Facebook Fanpage.‧Reached out to more than 5 000 people through different media coverage and marketing events.",‧參與者：更生人士4人、本地設計師6人、記者2人‧與?懲教署合作舉辦藝術治療工作坊，共15名在囚人士參加‧已完成15件產品設計及進入生產階段‧Facebook 網頁有超過500名關注者‧不同媒體報導及推廣活動接觸了超過5000人,‧参与者：更生人士4人、本地设计师6人、记者2人‧与?惩教署合作举办艺术治疗工作坊，共15名在囚人士参加‧已完成15件产品设计及进入生产阶段‧Facebook 网页有超过500名关注者‧不同媒体报导及推广活动接触了超过5000人,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.facebook.com/unspoken.hk/,www.facebook.com/unspoken.hk/,www.facebook.com/unspoken.hk/
Voiceless,默聲,默声,Voiceless Co. Ltd,默聲有限公司,默声有限公司,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,An online platform that provides services to cater the learning and communication needs of the deaf/hard-of-hearing people,支援失聰或弱聽人士學習和溝通需要的網上服務平台,支援失聪或弱听人士学习和沟通需要的网上服务平台,"Completed development of real-time captioning, live virtual interpreter and video subtitle services of the online platform",完成研發網上平台的即時語音轉換文字說明、虛擬翻譯及音頻字幕服務,完成研发网上平台的即时语音转换文字说明、虚拟翻译及音频字幕服务,100000,100000,100000,14.00,14.00,14.00,Completed,已完成,已完成,,,
Void,科和,科和,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Healthcare,醫,医,Children and youth,兒童及青少年,儿童及青少年,A multi-functional and self-helping mobile application for people to have hypnotherapy treatment anytime and anywhere,多用途及自助流動應用程式幫助用家隨時隨地接受催眠治療,多用途及自助流动应用程式帮助用家随时随地接受催眠治疗,‧Redesigned and launched the app for improving the mental health of people suffering from stress and poor sleep quality‧Completed the data analysis algorithm to analyse the change of mental health condition of Void users before and after using the app,‧完成重新設計的應用程式，並推出市場，為承受壓力和睡眠質素差的用家改善精神健康‧完成分析數據的計算程式，用以分析Void用家在使用應用程式前和後的心理健康情況,‧完成重新设计的应用程式，并推出市场，为承受压力和睡眠质素差的用家改善精神健康‧完成分析数据的计算程式，用以分析Void用家在使用应用程式前和后的心理健康情况,100000,100000,100000,7.00,7.00,7.00,Completed,已完成,已完成,https://void.com.hk/,https://void.com.hk/,https://void.com.hk/
Walkpner,手杖伴侶,手杖伴侣,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Transport,行,行,Elderly,長者,长者,A plug-in device that enhances existing walking sticks with functions of GPS tracking and fall detection ,為手杖加添全球定位追蹤及跌倒偵測警報功能的隨裝隨用裝置 ,为手杖加添全球定位追踪及跌倒侦测警报功能的随装随用装置 ,"Designed and produced the prototype of the walking device. Through the app or website, the elderly's location can be tracked and a notification will be received once a fall motion of the elderly user is detected",完成設計和製作便利步行裝置的原型，可透過應用程式或網站追踪長者位置和收到長者跌倒的通知,完成设计和制作便利步行装置的原型，可透过应用程式或网站追踪长者位置和收到长者跌倒的通知,100000,100000,100000,6.00,6.00,6.00,Completed,已完成,已完成,,,
Ways Out Hong Kong ,Ways Out Hong Kong ,Ways Out Hong Kong ,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Low-income families,低收入家庭,低收入家庭,Providing disadvantaged mothers with training and job opportunities in up-cycling household food waste into jewelry,為弱勢母親提供將家居廚餘升級再造成環保首飾的培訓及工作機會,为弱势母亲提供将家居厨余升级再造成环保首饰的培训及工作机会,- Recruit and train 4 disadvantaged mothers and engage one of them in jewellery production ,- 招募及培訓4位弱勢母，並聘用當中一位製作環保首飾  ,- 招募及培训4位弱势母，并聘用当中一位制作环保首饰  ,100000,100000,100000,9.00,9.00,9.00,Active,推展中,推展中,https://www.facebook.com/WaysOutHK/,https://www.facebook.com/WaysOutHK/,https://www.facebook.com/WaysOutHK/
Wheel Real Light,Wheel Real Light,Wheel Real Light,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Prototype,原型,原型,Transport,行,行,Persons with disabilities,殘疾人士,残疾人士,A smart wheelchair light designed by wheelchair users which also serves as a warning device,由輪椅使用者設計，可用作為警示工具的輪椅燈,由轮椅使用者设计，可用作为警示工具的轮椅灯,1. Provide job opportunities for 4 wheelchair users2. Give away 50 wheelchair smart light sets for free for users to test the product,1. 為4名輪椅人士提供就業職位2. 免費送出 50 套輪椅燈予使用者測試,1. 为4名轮椅人士提供就业职位2. 免费送出 50 套轮椅灯予使用者测试,100000,100000,100000,12.00,12.00,12.00,Active,推展中,推展中,,,
Wheel to Beach,滾動落海,滚动落海,Wheel Power Charity Limited,滾動力量慈善有限公司,滚动力量慈善有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Transport,行,行,Persons with disabilities,殘疾人士,残疾人士,Pilot run of beach wheelchair rental service that enables wheelchair users to enjoy the beach,沙灘輪椅租借服務測試計劃，讓輪椅使用者享受沙灘活動,沙滩轮椅租借服务测试计划，让轮椅使用者享受沙滩活动,"- Delivered 19 times of beach wheelchair rental services to nearly 100 participants, including 19 wheelchair users- Promoted the programme to five organisations- Established a Facebook page which attracted more than 1 000 followers",- 提供19次沙灘輪椅租借服務予接近100名參加者，其中包括19名輪椅使用者- 向五間機構宣傳項目- 成立面書專頁，吸引逾1000名追隨者,- 提供19次沙滩轮椅租借服务予接近100名参加者，其中包括19名轮椅使用者- 向五间机构宣传项目- 成立面书专页，吸引逾1000名追随者,100000,100000,100000,12.00,12.00,12.00,Completed,已完成,已完成,wheelpowerchallenge.org,wheelpowerchallenge.org,wheelpowerchallenge.org
Wheelman,Wheelman,Wheelman,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Transport,行,行,Persons with disabilities,殘疾人士,残疾人士,A mobile application with a barrier-free map to facilitate wheel chair users to better integrate into society,幫助輪椅使用者融入社區的無障礙地圖手機程式,帮助轮椅使用者融入社区的无障碍地图手机程式,Website and apps (available in Android versions) launched,已推出網頁及手機應用程式 (Android 版),已推出网页及手机应用程式 (Android 版),100000,100000,100000,6.00,6.00,6.00,Completed,已完成,已完成,www.wheelman.hk/,www.wheelman.hk/,www.wheelman.hk/
With You Out-Patient Escort Services,「我陪你」陪診服務,「我陪你」陪诊服务,With You Services Limited,With You Services Limited,With You Services Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Healthcare,醫,医,Elderly,長者,长者,Out-patient escort services with mobile app creating win-win for elderly and low-income group,結合手機應用程式的陪診服務令長者及低收入人士雙贏,结合手机应用程式的陪诊服务令长者及低收入人士双赢,‧Developed an online application for handling customers' bookings and care workers' administration work.‧Started offering services with 24 care workers.,‧已建立一套網上應用程式管理用戶預訂服務及協助陪診員處理有關行政工作‧已招聘24名陪診員開展服務,‧已建立一套网上应用程式管理用户预订服务及协助陪诊员处理有关行政工作‧已招聘24名陪诊员开展服务,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.with-you.com.hk,www.with-you.com.hk,www.with-you.com.hk
Your Choice,Your Choice,Your Choice,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,Setting up a barrier-free online boutique for the visually impaired to enjoy the pleasure of barrier-free shopping,開設無障礙服裝網店讓視障人士享受無障礙購物的樂趣,开设无障碍服装网店让视障人士享受无障碍购物的乐趣,1. Employ 3 visually impaired people2. Host an online shopping simulation event which serves 250 visually impaired people,1. 聘請3名視障人士2. 舉辦模擬網購，服務250名視障人士,1. 聘请3名视障人士2. 举办模拟网购，服务250名视障人士,100000,100000,100000,12.00,12.00,12.00,Active,推展中,推展中,,,
天水小餃,天水小餃,天水小饺,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,"BEHub programme run by The Society of Rehabilitation and Crime Prevention, Hong Kong",由香港善導會推展的「社創社」計劃,由香港善导会推展的「社创社」计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Low-income families,低收入家庭,低收入家庭,"The venture employs women from low-income families in Tin Shui Wai district to produce dumplings, aiming to help them enhance their community participation as well as skills in various aspects. Some of the dumplings will be given out to the homeless to benefit more people.",項目聘請天水圍區的低收入家庭婦女製作餃子，幫助她們加強社會參與度和提升多方面的能力。部份餃子會贈送予無家者，讓更多人受惠。,项目聘请天水围区的低收入家庭妇女制作饺子，帮助她们加强社会参与度和提升多方面的能力。部份饺子会赠送予无家者，让更多人受惠。,․	Employ 4 women from low-income families and living in Tin Shui Wai ․	Give out free dumplings to 520 homeless people,․	聘請4位居住於天水圍的低收入家庭婦女․	贈送餃子予520位無家者,․	聘请4位居住于天水围的低收入家庭妇女․	赠送饺子予520位无家者,100000,100000,100000,6.00,6.00,6.00,Active,推展中,推展中,,,
